University,ID Year,Year,ID Detailed Occupation,Detailed Occupation,ID Workforce Status,Workforce Status,Total Population,Average Wage,Average Wage Appx MOE,Total Population MOE Appx,Record Count,CIP2,ID CIP2
Brown University,2019,2019,291210,Physicians,TRUE,TRUE,70432,267217.3937,16073.31735,6514.124167,3953,Physical Sciences,40
Brown University,2019,2019,291240,Surgeons,TRUE,TRUE,4511,303169.6752,66604.06355,1648.938771,244,Physical Sciences,40
Brown University,2019,2019,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,1806,238905.6274,119645.7685,1043.352287,98,Physical Sciences,40
Brown University,2018,2018,172061,Computer hardware engineers,TRUE,TRUE,1343,142757.3038,58639.66972,899.7270104,61,Physical Sciences,40
Brown University,2018,2018,193033,Clinical and counseling psychologists,TRUE,TRUE,101,80267.32673,154944.3116,246.7375765,7,Physical Sciences,40
Brown University,2018,2018,291210,Physicians,TRUE,TRUE,69303,258477.3763,15582.23768,6461.706248,3890,Physical Sciences,40
Brown University,2018,2018,291240,Surgeons,TRUE,TRUE,4133,291532.2328,63947.11416,1578.342629,225,Physical Sciences,40
Brown University,2018,2018,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,1801,235964.6124,114718.5153,1041.906924,92,Physical Sciences,40
Brown University,2017,2017,172061,Computer hardware engineers,TRUE,TRUE,1286,132737.4518,54087.64273,880.4268816,60,Physical Sciences,40
Brown University,2017,2017,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,1891,222411.8065,107106.0292,1067.622351,96,Physical Sciences,40
Brown University,2016,2016,172061,Computer hardware engineers,TRUE,TRUE,1273,126220.3614,47318.49259,875.9654909,58,Physical Sciences,40
Brown University,2016,2016,413031,"Securities, commodities, & financial services sales agents",TRUE,TRUE,1878,218950.2764,102170.8625,1063.946172,89,Physical Sciences,40
Brown University,2015,2015,172061,Computer hardware engineers,TRUE,TRUE,1183,124215.8614,50491.59668,844.4331557,55,Physical Sciences,40
